Item	Sel	Theo%	Exp	Emp	E-E	Recent	AvgRun	R/A	Vol	Trend	Composite	Symbol	Play?
0	✓	21.88%	1005.54	1009	3.46	-2	-4.7	-0.43	0.34	0.03	53.26	001 ↑	YES
1	✓	41.24%	1895.05	1950	54.95	+2	+1.7	+1.15	0.49	0.13	34.76	110 ↑	NO
2	✓	27.49%	1263.37	1256	-7.37	-10	-3.6	-2.75	0.40	-0.07	0.00	000 →	NO
3	✓	8.18%	376.00	317	-59.00	-28	-14.6	-1.92	0.13	-0.07	16.51	000 →	NO
4	✓	1.13%	51.86	56	4.14	-107	-81.1	-1.32	0.02	-0.01	35.55	000 →	NO
5	✓	0.07%	3.11	7	3.89	-340	-573.5	-0.59	0.00	-0.00	54.87	001 ↑	YES
6	✓	0.00%	0.07	0	-0.07	-4595	-4595.0	-1.00	0.00	0.00	44.54	000 →	NO
7	✓	0.00%	0.00	0	-0.00	-4595	-4595.0	-1.00	0.00	0.00	44.54	000 →	NO
